redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,globalmass,globalmass_err,globalrestframe_gz,globalrestframe_gz_err,d_dlr,localmass,localmass_err,localrestframe_gz,localrestframe_gz_err,redshift_HD
0.05287786,1.069e-05,z_gal,58576.411072420175,0.000686000456873,-0.0159802818086023,0.247028161352534,0.1748589491253369,2.4904055234212566e-05,0.1700803562535707,0.032269635421155,-8.306886716273166e-07,0.0003061261583838,0.0006027718262849,-9.503445055068091e-07,-6.692710380580258e-07,-1.8440027210829787e-05,0.0146561097870642,3.1,0.0,0.0020689694893094,169.205149,46.910989,snia-cosmo,norm,1.0,1.0,2019cdd,100.0,169.20501775709266,46.91067438496359,10.415,0.159298462013919,1.23769653,0.018439088915,0.2903158651045008,10.087,0.089,1.26869653,0.017691806013,0.0538798158559346
0.01543852,1.82e-05,z_gal,58991.683403291456,0.0122259481554451,-0.9561970592056992,0.0910042694301518,0.1774845210384228,0.0004258181304061,0.0873890821588545,0.0320240045446937,-6.653134787159847e-07,-0.0070071150570842,-0.0001589554634635,-4.697855436072814e-06,-1.14510467983714e-05,-0.0001800902400138,0.01092468090766,3.1,0.0,0.9724669376219416,198.722696,27.008415,snia-cosmo,norm,1.0,1.0,2020jhf,100.0,198.72267945748305,27.008049541031625,10.09,0.1026109155986827,1.37269653,0.02,0.1577095450948597,9.487,0.098,1.42069653,0.019104973175,0.015878383388421957
0.02568444,1.414e-05,z_gal,59006.06452650588,0.0037211901776748,-2.74023267595908,0.2024111422574747,0.1888757656342932,0.0001782732393453,0.2930285285143559,0.0521634539065077,-4.564844496299959e-06,0.0262448322677568,-0.0003757418242225,-1.7364292346516283e-05,-7.234795065062758e-06,0.0008822140340306,0.0141639029302758,3.1,0.0,0.2871268615691426,170.555313,24.317404,snia-cosmo,norm,1.0,1.0,2020lyo,100.0,170.55532339931955,24.317159503705422,10.706,0.130598621738516,1.38569653,0.018439088915,0.1140296606105555,10.441,0.02,1.38669653,0.019104973175,0.027286805169240758
0.0527765,1.008e-05,z_gal,59204.38400931357,0.000799951476524,0.4519946181249995,0.1406493377163532,0.2002622299405629,3.4661331603709294e-05,0.2615059732518238,0.0358119536625701,1.497824318372439e-06,-0.0161074568291877,-0.0014115338833486,-4.84375180392635e-06,-1.0898729486789317e-06,0.0035818406752482,0.0121150070961546,3.1,0.0,0.8615012588591157,176.357595,55.527,snia,,1.0,1.0,2020acqt,100.0,176.3571587480283,55.52703154929162,10.142,0.1049952379872535,0.77569653,0.017691806013,0.1947868560871609,9.628,0.02,0.81369653,0.017691806013,0.0539739199096938
0.03065642,1.249e-05,z_gal,59024.62485895476,0.0064765825188536,0.9270401028550068,-0.0477634820991019,0.0398847087017202,0.0001906050606757,0.033252838433477,0.0260851847404476,1.6027467756628351e-06,-0.000321873987882,-0.0002584785015276,1.113794247635366e-06,-4.321921663398398e-06,-0.000236099356889,0.0135489262519351,3.1,0.0,0.9999982224215656,239.497841,40.033895,snia-cosmo,norm,1.0,1.0,2020mcc,100.0,239.4976967169873,40.03392660442597,9.939,0.105304320899002,0.69969653,0.019849433241,0.0588425698552751,9.55,0.047,0.83769653,0.019104973175,0.030474897387070543
0.05145185,1.194e-05,z_gal,58954.45430807741,0.0005371021985762,-0.6777520742560432,0.3725231920964031,0.1753034430730622,1.951605329642307e-05,0.1022954022933377,0.0311023559647745,-7.741893941698617e-07,-0.0051648974862336,0.0008527528138048,-2.128988422040072e-07,-5.333098216392595e-07,-2.456592130909385e-05,0.0191887160496452,3.1,0.0,0.3844181367485987,179.195463,52.483881,snia-cosmo,norm,1.0,1.0,2020gaa,100.0,179.19660937682048,52.48433729910774,10.204,0.1226417547167358,1.08269653,0.017691806013,0.4544929049509811,9.383,0.041,1.09069653,0.027586228448,0.05232502694739871
0.03761017,1.261e-05,z_gal,58217.23436099515,0.0015048208433864,-1.8486330203111625,0.1637980961084744,0.0551562828877649,5.229112369088142e-05,0.0712282870032793,0.0307906769102161,7.75635976688453e-07,-0.0014328719209564,-0.000502531188075,-1.1823289983430956e-06,-1.4270889386683678e-06,0.0004748465708649,0.0105144679879642,3.1,0.0,0.9999999999307564,222.699665,54.40789,snia-cosmo,norm,1.0,1.0,2018aoy,100.0,222.6938180664336,54.41118701023253,11.307,0.1640121946685672,1.33769653,0.018439088915,1.4488561324076787,8.526,0.082,1.45469653,0.052325901808,0.03830944648870438
0.04499953,1.134e-05,z_gal,58434.74962481384,0.0022238432862521,-0.9339476769636802,-0.1574651524018638,0.1331791302109195,7.10584277671027e-05,0.1251145170605265,0.0334361312100955,1.7804940402094317e-07,-0.0003720120968129,-0.0006616734772205,-1.0735817179501853e-06,-1.858681382299583e-06,-0.000441836864187,0.0181938154769243,3.1,0.0,4.634773722615129e-07,177.450738,25.650593,snia-cosmo,norm,1.0,1.0,2018hvf,100.0,177.45088730316562,25.65041273485299,10.659,0.1358823020117042,1.19569653,0.018439088915,0.2168452884637309,10.32,0.069,1.17169653,0.018439088915,0.0463465738467046
0.02878992,0.00015044,z_gal,58234.021298305415,0.0016403878035396,1.125530362436624,0.2535978083331057,0.2392910729504365,8.20494255620132e-05,0.5018577040458756,0.0472024297731856,-7.945206129343316e-06,0.0179841876115444,0.0066184870769977,-1.2752449378676878e-05,-3.240078587153702e-06,-0.0013730342394052,0.0482633659920009,3.1,0.0,0.5739815486286173,150.778769,-15.472798,snia-cosmo,norm,1.0,1.0,2018awj,100.0,150.77958566,-15.47612329,10.623,0.1041201229350023,1.21469653,0.019209372712,0.8246564789116299,8.998,0.08,1.19669653,0.022671568098,0.029182135704782564
0.02229592,1.262e-05,z_gal,58244.100764449344,0.0111640248443308,0.7323532744754204,-0.1115447711090716,0.0378608522187278,0.0003340577339054,0.0383802265940303,0.0271364635626636,3.3042552614809352e-06,-5.4575710625808223e-05,-0.0003311996317064,1.2573969010558674e-06,-7.809800811561687e-06,-0.000256734288332,0.0361545987169455,3.1,0.0,0.9709248611381156,269.417711,50.03859,snia-cosmo,norm,1.0,1.0,2018aye,100.0,269.41898233733605,50.03346204424288,9.26,0.1023914058893616,0.69369653,0.022203603311,1.0429633926899886,7.246,0.096,0.65669653,0.183918460194,0.022073689000366326
